"RelativePath","Extension","Lines","Category","Over200"
"src\styles\css\lock-components\line-3-transformer.controls.css","css","50","css","False"
"src\styles\css\worm-base.carried.css","css","50","css","False"
"package.json","json","49","misc","False"
"src\scripts\symbol-rain.helpers.pool.js","js","49","js-runtime","False"
"src\styles\css\level-select.details.responsive.css","css","49","css","False"
"tests\mocks\evasion-mock.js","js","49","tests","False"
"src\scripts\worm-powerups.effects.js","js","48","js-runtime","False"
"src\tools\scripts\line-limit.config.js","js","48","tools","False"
"src\tools\scripts\verify\checks\package-json.js","js","48","tools","False"
"src\scripts\ux-ripple.js","js","45","js-runtime","False"
"Docs\LINE_LIMIT_200_AUDIT.policy.summary.txt","txt","44","misc","False"
"src\scripts\game.js","js","44","js-runtime","False"
"src\tools\scripts\verify\checks\stats.js","js","44","tools","False"
"src\scripts\symbol-rain.helpers.utils.js","js","43","js-runtime","False"
"src\styles\css\game-animations.achievement.css","css","43","css","False"
"src\styles\css\lod-animations.containment.css","css","43","css","False"
"src\scripts\constants.js","js","42","js-runtime","False"
"src\scripts\lazy-component-loader.init.js","js","42","js-runtime","False"
"src\scripts\score-timer.boundary.js","js","42","js-runtime","False"
"src\scripts\worm-system.movement.js","js","42","js-runtime","False"
"src\tools\scripts\verify\checks\documentation.js","js","41","tools","False"
"src\scripts\worm-spawn-manager.coordinator.core.js","js","40","js-runtime","False"
"src\scripts\worm-powerups.effects.chain.targeting.js","js","39","js-runtime","False"
"src\styles\css\lock-components\line-6-transformer.segments.css","css","39","css","False"
"tsconfig.typecheck.json","json","39","misc","False"
"src\styles\css\lock-components\Line-1-transformer.core.css","css","38","css","False"
"src\styles\css\lock-components\line-2-transformer.controls.css","css","38","css","False"
"src\scripts\worm-aggression.js","js","37","js-runtime","False"
"src\tools\scripts\verify\checks\line-limits.js","js","37","tools","False"
"src\scripts\ux-enhancements.js","js","36","js-runtime","False"
"src\tools\scripts\line-limit\index.js","js","36","tools","False"
"src\tools\scripts\verify\checks\critical-files.js","js","36","tools","False"
"tests\performance-bench.spec.js","js","36","tests","False"
"_tmp_large_ui_mechanics.txt","txt","35","misc","False"
"src\types\types\global.d.ts","ts","34","misc","False"
"style.css","css","34","misc","False"
"src\scripts\utils-dom.js","js","31","js-runtime","False"
"src\tools\scripts\verify\verify.constants.js","js","31","tools","False"
"src\assets\problems\Assets\Worms.txt","txt","30","assets-source","False"
"src\styles\css\game-responsive.rotation.css","css","30","css","False"
"src\styles\css\index.matrix.css","css","28","css","False"
"src\styles\css\level-select.matrix.css","css","28","css","False"
"src\tools\scripts\verify\verify.logging.js","js","28","tools","False"
"src\styles\css\index.responsive.css","css","27","css","False"
"src\styles\css\lock-components\Line-1-transformer.levels.css","css","27","css","False"
"src\scripts\worm-spawn-manager.js","js","26","js-runtime","False"
"level-select.html","html","24","misc","False"
"src\scripts\ui-boundary-manager.js","js","24","js-runtime","False"
"game.html","html","23","misc","False"
"src\styles\css\game-responsive.modals.css","css","23","css","False"
"index.html","html","22","misc","False"
"src\tools\scripts\verify\checks\eslint.js","js","21","tools","False"
"src\styles\css\game-animations.near-miss.css","css","20","css","False"
"src\styles\css\game-responsive.touch.css","css","20","css","False"
"src\tools\scripts\line-limit\baseline.js","js","19","tools","False"
"lock\lock.js","js","18","misc","False"
"src\scripts\game-symbol-handler.js","js","18","js-runtime","False"
"src\styles\css\lock-components\Line-1-transformer.keyframes.css","css","18","css","False"
"src\styles\css\lod-animations.gpu.css","css","18","css","False"
"jsconfig.json","json","17","misc","False"
"src\scripts\console-manager.js","js","15","js-runtime","False"
"src\scripts\performance-monitor.bootstrap.js","js","15","js-runtime","False"
"src\tools\middle-screen\solver.js","js","15","tools","False"
"src\styles\css\game-responsive.css","css","14","css","False"
"src\styles\css\level-select.core.css","css","14","css","False"
"src\styles\css\lock-components\Line-1-transformer.controls.css","css","13","css","False"
"src\tools\scripts\line-limit-check.js","js","12","tools","False"
".eslintrc.json","json","11","misc","False"
"src\styles\css\index.css","css","10","css","False"
"src\styles\css\level-select.css","css","10","css","False"
"src\tools\scripts\line-limit\path-utils.js","js","10","tools","False"
"src\scripts\symbol-rain.helpers.js","js","9","js-runtime","False"
"src\styles\css\lock-components\Line-1-transformer.css","css","9","css","False"
"src\tools\scripts\verify\verify.checks.js","js","9","tools","False"
"src\scripts\quality-tier-manager.bootstrap.js","js","8","js-runtime","False"
"src\styles\css\lock-components\line-3-transformer.css","css","7","css","False"
"src\styles\css\lock-components\line-6-transformer.css","css","7","css","False"
"src\styles\css\lock-components\line-6-transformer.effects.css","css","7","css","False"
"src\styles\css\lod-animations.css","css","7","css","False"
"src\scripts\utils.js","js","6","js-runtime","False"
"src\styles\css\game-animations.css","css","6","css","False"
"src\styles\css\level-select.details.css","css","6","css","False"
"src\styles\css\lock-components\line-2-transformer.css","css","6","css","False"
"tests\utils\index.js","js","6","tests","False"
"src\styles\css\console.css","css","5","css","False"
"src\styles\css\lock-components\line-3-transformer.effects.css","css","5","css","False"
"src\styles\css\worm-base.css","css","5","css","False"
"src\styles\css\worm-effects.css","css","5","css","False"
"src\styles\css\lock-components\line-4-transformer.css","css","4","css","False"
"src\styles\css\lock-components\Line-5-transformer.css","css","4","css","False"
"src\styles\css\modern-ux-enhancements.css","css","4","css","False"
