"RelativePath","Extension","Lines","Category","Over300"
".tmp-mobile-layout-debug.mjs","mjs","80","misc","False"
"src\scripts\worm\behavior\WormState.js","js","79","js-runtime","False"
"src\scripts\utils-combo.ui.js","js","78","js-runtime","False"
"manifest.json","json","77","misc","False"
"src\scripts\worm-behavior.utils.js","js","77","js-runtime","False"
"src\scripts\symbol-rain.helpers.face-reveal.js","js","76","js-runtime","False"
"src\styles\css\lock-components\line-6-transformer.effects.states.css","css","76","css","False"
"src\scripts\ui-boundary-manager.monitoring.js","js","75","js-runtime","False"
"src\scripts\worm-evasion.js","js","75","js-runtime","False"
"src\styles\css\lock-components\line-6-transformer.ui.css","css","75","css","False"
"src\styles\css\lock-components\Line-5-transformer.core.css","css","74","css","False"
"src\tools\scripts\verify.js","js","73","tools","False"
"src\scripts\game-problem-loader.js","js","72","js-runtime","False"
"src\scripts\game-symbol-helpers.js","js","72","js-runtime","False"
"src\scripts\symbol-rain.interactions.js","js","72","js-runtime","False"
"src\scripts\utils-achievements.definitions.js","js","72","js-runtime","False"
"src\styles\css\console.worm.css","css","72","css","False"
"src\scripts\worm-powerups.js","js","71","js-runtime","False"
"tests\unit\worm-near-miss-ui.spec.js","js","70","tests","False"
"tests\worm-cursor-evasion.spec.js","js","70","tests","False"
"src\scripts\symbol-rain.config.js","js","69","js-runtime","False"
"src\scripts\constants.part.system.js","js","68","js-runtime","False"
"src\scripts\utils-achievements.ui.js","js","68","js-runtime","False"
"src\styles\css\modern-ux-enhancements.toasts.css","css","68","css","False"
"src\scripts\utils-core.js","js","66","js-runtime","False"
"src\styles\css\level-select.header.css","css","66","css","False"
"src\styles\css\worm-base.variant.css","css","66","css","False"
"src\scripts\display-manager.mobile.js","js","65","js-runtime","False"
"tests\drum-audio-loader.spec.js","js","65","tests","False"
"src\scripts\interaction-audio.cyberpunk.controls.js","js","63","js-runtime","False"
"src\styles\css\lock-components\line-4-transformer.core.css","css","63","css","False"
"tests\global-setup.js","js","63","tests","False"
"tests\worm-stability.spec.js","js","63","tests","False"
"src\scripts\game-symbol-handler.stolen.js","js","62","js-runtime","False"
"src\styles\css\lod-animations.reduced-motion.css","css","62","css","False"
"tests\lock-components.spec.js","js","62","tests","False"
"tests\lock-progression-moment.spec.js","js","62","tests","False"
"src\scripts\index-page.matrix.js","js","61","js-runtime","False"
"src\styles\css\lock-components\line-6-transformer.core.css","css","60","css","False"
"package.json","json","58","misc","False"
"src\scripts\quality-tier-manager.methods.js","js","58","js-runtime","False"
"src\scripts\symbol-rain.helpers.interactions.js","js","58","js-runtime","False"
"src\scripts\worm-near-miss-ui.js","js","57","js-runtime","False"
"src\scripts\quality-tier-manager.config.js","js","56","js-runtime","False"
"src\scripts\console-manager.storage.js","js","55","js-runtime","False"
"src\styles\css\lock-components\line-3-transformer.controls.css","css","55","css","False"
"src\scripts\game-page.js","js","54","js-runtime","False"
"src\scripts\game-state-manager.js","js","54","js-runtime","False"
"src\scripts\worm-obstacle-map.js","js","53","js-runtime","False"
"src\tools\scripts\line-limit.config.js","js","53","tools","False"
".tmp-welcome-debug.mjs","mjs","52","misc","False"
"src\scripts\index-page.ripple.js","js","52","js-runtime","False"
"src\scripts\worm-behavior.js","js","51","js-runtime","False"
"src\styles\css\worm-base.carried.css","css","50","css","False"
"tests\drum-fallback.spec.js","js","50","tests","False"
"src\scripts\symbol-rain.helpers.pool.js","js","49","js-runtime","False"
"src\styles\css\level-select.details.responsive.css","css","49","css","False"
"tests\mocks\evasion-mock.js","js","49","tests","False"
".tmp-ui-boundary-debug.mjs","mjs","48","misc","False"
"src\scripts\interaction-audio.cyberpunk.drums.loader.js","js","48","js-runtime","False"
"src\scripts\worm-powerups.effects.js","js","48","js-runtime","False"
"src\tools\scripts\verify\checks\package-json.js","js","48","tools","False"
"src\styles\css\lock-components\line-6-transformer.segments.css","css","47","css","False"
"tests\lifecycle-audit.spec.js","js","47","tests","False"
".tmp-level-debug.mjs","mjs","46","misc","False"
".tmp-level-narrow-debug.mjs","mjs","46","misc","False"
"src\styles\css\lock-components\Line-1-transformer.core.css","css","46","css","False"
".tmp-mobile-project-debug.mjs","mjs","45","misc","False"
"src\scripts\ux-ripple.js","js","45","js-runtime","False"
"src\styles\css\game-responsive.rotation.css","css","45","css","False"
"src\scripts\game.js","js","44","js-runtime","False"
"src\tools\scripts\verify\checks\stats.js","js","44","tools","False"
"Docs\SystemDocs\LINE_LIMIT_200_AUDIT.policy.summary.txt","txt","43","misc","False"
"src\scripts\symbol-rain.helpers.utils.js","js","43","js-runtime","False"
"src\styles\css\game-animations.achievement.css","css","43","css","False"
"src\styles\css\game-responsive.modals.css","css","43","css","False"
"src\styles\css\lock-components\line-2-transformer.controls.css","css","43","css","False"
"src\styles\css\lod-animations.containment.css","css","43","css","False"
"src\scripts\constants.js","js","42","js-runtime","False"
"src\scripts\lazy-component-loader.init.js","js","42","js-runtime","False"
"src\scripts\score-timer.boundary.js","js","42","js-runtime","False"
"src\scripts\worm\core\WormEvents.js","js","41","js-runtime","False"
"src\tools\scripts\verify\checks\documentation.js","js","41","tools","False"
"src\scripts\worm-spawn-manager.coordinator.core.js","js","40","js-runtime","False"
"src\tools\scripts\verify\checks\line-limits.js","js","40","tools","False"
"src\scripts\worm-powerups.effects.chain.targeting.js","js","39","js-runtime","False"
"src\types\types\global.d.ts","ts","39","misc","False"
"src\styles\css\game-responsive.touch.css","css","38","css","False"
"src\scripts\worm-aggression.js","js","37","js-runtime","False"
"tsconfig.typecheck.json","json","37","misc","False"
"src\scripts\ux-enhancements.js","js","36","js-runtime","False"
"src\tools\scripts\line-limit\index.js","js","36","tools","False"
"src\tools\scripts\verify\checks\critical-files.js","js","36","tools","False"
"_tmp_large_ui_mechanics.txt","txt","35","misc","False"
"style.css","css","34","misc","False"
".tmp-pixel500-debug.mjs","mjs","31","misc","False"
"src\scripts\utils-dom.js","js","31","js-runtime","False"
"src\tools\scripts\verify\verify.constants.js","js","31","tools","False"
"src\assets\problems\Assets\Worms.txt","txt","30","assets-source","False"
"src\styles\css\perf-smoke-mode.css","css","29","css","False"
"src\styles\css\index.matrix.css","css","28","css","False"
"src\styles\css\level-select.matrix.css","css","28","css","False"
